@RELATION IconPrediction

   @ATTRIBUTE grad1  NUMERIC
   @ATTRIBUTE grad2   NUMERIC
   @ATTRIBUTE grad3  NUMERIC
   @ATTRIBUTE grad4   NUMERIC
   @ATTRIBUTE grad5  NUMERIC
   @ATTRIBUTE grad6   NUMERIC
   @ATTRIBUTE grad7  NUMERIC
   @ATTRIBUTE grad8   NUMERIC
   @ATTRIBUTE grad9   NUMERIC
   @ATTRIBUTE class  {-1,0,1,2}
   
@data
0.0002902228,0.0001049199,0.0001613387,5.0453844E-005,0.0006293096,0.0001279833,0.0001435365,5.236817E-005,0.0002165246,1
0.0061966591,0.0025930654,0.0005463314,0.0033739104,0.011815441,0.0011212977,0.001520697,0.0020100907,0.0046706116,1
0.05496569,0.05740691,0.028624956,0.035551377,0.058912806,0.038420495,0.031967767,0.01917341,0.067542508,1
0.03867868,0,0,0,0,0,0,0,0.03867868,1
0.10967676,0.0067623835,0.0057874955,0.0035544846,0.035238683,0.003964352,0.0036366496,0.0034613591,0.10968857,1
0.026137369,0.019655872,0.020964757,0.021418646,0.050033785,0.018996382,0.01392282,0.011943597,0.011883882,1
0.040862054,0.020901604,0.038249675,0.0078391694,0.037867036,0.023905601,0.030949129,0.013023903,0.047156345,1
7.9613179E-005,0,0,0,0.0023606711,0,0.0001428714,4.7745223E-005,7.9613179E-005,1
0.014016476,0.0058405939,0.003961307,0.0083379308,0.23660433,0.011048596,0.0034122115,0.0013831984,0.011370469,1
0.023680013,0.010642029,0.015854469,0.01652592,0.074654266,0.025316803,0.014552303,0.0085176965,0.021738756,1
0.016918862,0.012162169,0.024101716,0.02170728,0.098538116,0.0084625036,0.021367401,0.0087305354,0.018531904,1
0,0,0,0,0.16402768,0,0,0,0,1
0.0001452326,0.0001457244,0.0001328849,7.8991441E-005,0.1659262,0.0001966662,0.0001708899,0.0001223347,0.0001026728,1
0.06223733,0.025413951,0.038519509,0.040819645,0.10459193,0.041450646,0.072951011,0.042761292,0.039832372,1
0.017456364,0.044408001,0.072786234,0.024676405,0.051902622,0.01478825,0.0082536545,0.006892045,0.021857882,1
0,0,0,0,0.085012279,0,0,0,0,1
0.13312542,0.042984728,0.11875906,0.074771345,0.086200103,0.078182988,0.13282378,0.034152459,0.13316537,1
0.0080215205,0.0047243056,0.01408573,0.010798879,0.12236944,0.011669288,0.0047247917,0.0061129052,0.011078232,1
0.12663889,0.031588461,0.021239817,0.010881984,0.047073089,0.015509463,0.010190194,0.0073801186,0.097620182,1
0.093628779,0.037499726,0.052358259,0.023654399,0.069454372,0.038455911,0.040869251,0.023652216,0.11528635,1
0.0078434628,0.0064854743,0.013480377,0.0014057694,0.079907849,0.0060428032,0.0094380705,0.0010832822,0.0060612569,1
0.082708508,0.13587341,0.1370746,0.064478263,0.15198082,0.046961334,0.081233099,0.090045325,0.11826783,1
0.0039897878,0.0034879104,0.0055298968,0.0058317357,0.02494321,0.0053808261,0.0060856314,0.0025822036,0.0037849743,1
0.15255381,0.091432467,0.15745881,0.13792549,0.19046226,0.13587795,0.16278093,0.048172772,0.15590605,-1
0.027192127,0.030990275,0.069562361,0.037950225,0.13167018,0.045675308,0.048189793,0.029343877,0.033204753,-1
0.0016034263,0.0011489295,0.0030582729,0.0026706622,0.13724278,0.0024012846,0.0051849042,0.0014825762,0.0005150066,-1
0.091770902,0.018112851,0.016239509,0.0094822273,0.051973429,0.015696134,0.013638352,0.016830964,0.098637491,-1
0.035779297,0.061623629,0.12278027,0.041609865,0.12170269,0.017797394,0.030617531,0.011012303,0.015721826,-1
0.080750555,0.098086774,0.11785765,0.042070445,0.15864681,0.091035351,0.11785765,0.11354747,0.041985206,-1
0.0094058355,0.0029522153,0.004164469,0.0032168459,0.045956284,0.0058900858,0.012412407,0.0038800486,0.0093564186,-1
0.060075171,0.046475291,0.06448894,0.03685198,0.13977501,0.039408855,0.11757445,0.072359219,0.048217405,-1
0.15067342,0.086925521,0.14156893,0.063115939,0.18890268,0.055474881,0.074249655,0.04872489,0.14353281,-1
0.1090942,0.062792934,0.034229681,0.031330764,0.11341052,0.026919877,0.016837237,0.035552669,0.052459475,-1
0.056428291,0.038055573,0.057307199,0.0386317,0.079653651,0.028447032,0.055379014,0.042833984,0.060497671,-1
0.017418031,0.018381696,0.01991174,0.019132532,0.083186269,0.011571765,0.0076514445,0.0092816027,0.03214794,-1
0.12420394,0.1229609,0.12941316,0.043799806,0.13057132,0.041809201,0.13110606,0.12959118,0.11973611,-1
0.081759542,0.063715398,0.066462323,0.02554783,0.18680638,0.027493207,0.057809412,0.038704492,0.064283773,-1
0.0062255948,0.0075249556,0.012728961,0.013485422,0.071664125,0.0088507105,0.020272868,0.015841521,0.0094050523,-1
0.088010572,0.052781381,0.076568939,0.039767325,0.12549865,0.028893638,0.067834161,0.062612854,0.093436308,-1
